Label,Title,Contents,Date
1,I love ASOS,I love ASOS and allCustomer service they are just adorable,14-Dec-19
1,Quality customer service,"My order was left outside and the school kids ransacked it, however this was hermes who had left it outside and ASOS refunded me and resolved my issue immediately, Mairi was so kind and helpful. 10/10 customer service.",14-Dec-19
1,Helpful and friendly staff.,Helpful and friendly staff.,14-Dec-19
1,Replied quickly and made sure their…,Replied quickly and made sure their customers were happy,14-Dec-19
0,Helpful customer service officer but problematic delivery!,"Rebecca was patient and helpful with my queries, though there seems to be some logistic issues with ASOS delivery. I've only received 1 out of the 4 parcels that were deemed to be delivered on the same day.",14-Dec-19
1,"Perfect, love ASOS's service","Fast, kind, clear answer! Perfect that I love ASOS service",14-Dec-19
-1,It took over 20 minutes to be connected…,"It took over 20 minutes to be connected with the online chat service. Upon waiting for the chat to commence, it then took 18 minutes for the customer assistant to respond with an answer to my query, which was also very unhelpful. Overall the service was poor when comparing to other online chat services.",14-Dec-19
-1,Terrible firm,"Terrible firm. I had such a bad time trying to get them to deliver that I won't use them again. Unfortunately I forgot to tell my wife, watching her go through the same pantomime . How does this firm stay on business ?",14-Dec-19
1,very helpful,"very helpful, clear and prompt",14-Dec-19
-1,Delivery but no watch inside!,"Ordered a Vivienne Westwood which was delivered on time but  arrived sealed but with no watch inside!  Christmas stress!  After initial frustration of trying to find a FAST way to get this resolved (ASOS no phone number and a chat box that kept disappearing unless you were like lightning on keyboard?), I liaised with Donique who resolved this quickly, re-ordering to be delivered within 4 working days.  This has minimized my delivery anxiety, as it is a present for my daughter.  Friendly and efficient service overall and providing it arrives (it was confirmed it was in stock) with watch inside(!), I will be a happy customer again. Sad state of affairs, that people (presumably at packing stage) steal, when the rest of us work hard to earn money to buy these treats. ASOS so far, so good!",14-Dec-19
-1,Terrible,Terrible Paid for next day delivery and I still haven’t received it 4 days later and no one is replying to my emails or telling me where my parcel is,14-Dec-19
1,Excellent and easy.,Excellent and easy.,14-Dec-19
1,Renee at Asos was very friendly and…,"Renee at Asos was very friendly and professional. My issue was resolved in 15 minutes. Even though the delivery of my purchase is delayed, I still felt that the customer support is great.",14-Dec-19
-1,Shambles of a company DO NOT USE,Items ordered on 1/12 on standard 3-5 day delivery. Got estimated delivery date 11/12. Dispatch 9/12 still no parcel. Contact ASOS who won’t do anything until they speak with currier. Speak to Currier directly says parcel returned due to damage. ASOS won’t accept this for 48hours and now say I have to wait a further 7 days to see if they receive my parcel back and then maybe issue a refund which will take another 7-10 days DO NOT BUT FROM THESE IF YOU’D LIKE TO ACTUALLY GET THE GOODS YOU PAID FOR,14-Dec-19
-1,Terrible experience,Terrible experience. Courier left my parcel in a gas metre and my parcel was unsealed. One whole outfit from my order was missing and no order info or returns label inside. I complain on FB so ASOS send out a replacement parcel... to an old address I don’t live at anymore! Why on earth would you do that? Wouldn’t common sense tell you to send the parcel to the address of the original order??? I’m absolutely foaming and want my money back. Absolutely useless.,14-Dec-19
-1,No customer support at all,No customer support at allLeave your messages unresponded for weeksDelivery takes 2-3 weeks!Unbelievable Never again,14-Dec-19
